Reference, Value, Footprint, Datasheet
CN1,EDGE,HERMESLITE:EDGE,
T2,8:1,HERMESLITE:TRANSF,
T3,4:1,HERMESLITE:TRANSF,
C4,0.1 uF,Capacitors_SMD:C_0805_HandSoldering,
R3,0,Resistors_SMD:R_0805_HandSoldering,
C5,0.1 uF,Capacitors_SMD:C_0805_HandSoldering,
FB1,FB,SMD_Packages:SMD-0805,
T1,TRANSFO,Socket_Strips:Socket_Strip_Straight_2x02,
P3,CONN_01X02,Pin_Headers:Pin_Header_Straight_1x02,
P2,CONN_02X01,Pin_Headers:Pin_Header_Straight_1x02,
C7,47uF 16V,Discret:C1V8,
C6,0.1uF,Capacitors_SMD:C_0805_HandSoldering,
P5,DGND,Pin_Headers:Pin_Header_Straight_1x01,
P1,CONN_01X02,Pin_Headers:Pin_Header_Angled_1x02,
Q3,RD16HHF1,Transistors_TO-220:TO-220_Neutral123_Vertical_LargePads,
T4,TRANSF,HERMESLITE:TRANSF,
Q4,RD16HHF1,Transistors_TO-220:TO-220_Neutral123_Vertical_LargePads,
C11,0.1uF,Capacitors_SMD:C_0805_HandSoldering,
R8,470,Resistors_SMD:R_0805_HandSoldering,
C9,0.1uF,Capacitors_SMD:C_0805_HandSoldering,
R6,220,Resistors_SMD:R_0805_HandSoldering,
R4,47,Resistors_SMD:R_0805_HandSoldering,
C2,0.1uF,Capacitors_SMD:C_0805_HandSoldering,
VR2,1K MT,Potentiometers:Potentiometer_Bourns_3296W_3-8Zoll_Inline_ScrewUp,
C10,0.1uF,Capacitors_SMD:C_0805_HandSoldering,
R7,470 .5W,Resistors_SMD:R_0805_HandSoldering,
C8,0.1uF,Capacitors_SMD:C_0805_HandSoldering,
R2,47,Resistors_SMD:R_0805_HandSoldering,
C1,0.1uF,Capacitors_SMD:C_0805_HandSoldering,
VR1,1k MT,Potentiometers:Potentiometer_Bourns_3296W_3-8Zoll_Inline_ScrewUp,
C15,0.01uF,Capacitors_SMD:C_0805_HandSoldering,
C14,0.1uF,Capacitors_SMD:C_0805_HandSoldering,
C13,4700pF,Capacitors_SMD:C_0805_HandSoldering,
Q1,2N3906,Transistors_SMD:sot23,
C3,0.1uF,Capacitors_SMD:C_0805_HandSoldering,
D1,1N5231,Diodes_SMD:Diode-SMA_Handsoldering,
R1,1k,Resistors_SMD:R_0805_HandSoldering,
K1,D3002,Sockets_DIP:DIP-10__300,
R5,1k,Resistors_SMD:R_0805_HandSoldering,
Q2,2N3906,Transistors_SMD:sot23,
C12,3300pF,Capacitors_SMD:C_0805_HandSoldering,
P6,CONN_01X03,Pin_Headers:Pin_Header_Straight_1x03,
L1,FT50-43 10T #26,Choke_Axial_ThroughHole:Choke_Horizontal_RM10mm,
L26,68nH,SMD_Packages:SMD-0805,
L27,68nH,SMD_Packages:SMD-0805,
P7,CONN_01X03,Pin_Headers:Pin_Header_Straight_1x03,
L23,1.296uH,Choke_Toroid_ThroughHole:Choke_Toroid_6,5x13mm_Vertical,
C19,550pF,Capacitors_SMD:C_0805_HandSoldering,
L5,3.364uH,Choke_Toroid_ThroughHole:Choke_Toroid_6,5x13mm_Vertical,
C25,2700pF,Capacitors_SMD:C_0805_HandSoldering,
L11,676nH,Choke_Toroid_ThroughHole:Choke_Toroid_6,5x13mm_Vertical,
C31,270pF,Capacitors_SMD:C_0805_HandSoldering,
L17,7.396uH,Choke_Toroid_ThroughHole:Choke_Toroid_6,5x13mm_Vertical,
C37,1500pF,Capacitors_SMD:C_0805_HandSoldering,
L24,3.364uH,Choke_Toroid_ThroughHole:Choke_Toroid_6,5x13mm_Vertical,
C20,1500pF,Capacitors_SMD:C_0805_HandSoldering,
L6,5.184uH,Choke_Toroid_ThroughHole:Choke_Toroid_6,5x13mm_Vertical,
C26,4700pF,Capacitors_SMD:C_0805_HandSoldering,
L12,1.6uH,Choke_Toroid_ThroughHole:Choke_Toroid_6,5x13mm_Vertical,
C32,690pF,Capacitors_SMD:C_0805_HandSoldering,
L18,11.664uH,Choke_Toroid_ThroughHole:Choke_Toroid_6,5x13mm_Vertical,
C38,2200pF,Capacitors_SMD:C_0805_HandSoldering,
L22,784nH,Choke_Toroid_ThroughHole:Choke_Toroid_6,5x13mm_Vertical,
C18,100pF,Capacitors_SMD:C_0805_HandSoldering,
L4,1.936uH,Choke_Toroid_ThroughHole:Choke_Toroid_6,5x13mm_Vertical,
C24,1600pF,Capacitors_SMD:C_0805_HandSoldering,
L10,400nH,Choke_Toroid_ThroughHole:Choke_Toroid_6,5x13mm_Vertical,
C30,300pF,Capacitors_SMD:C_0805_HandSoldering,
L16,3.6uH,Choke_Toroid_ThroughHole:Choke_Toroid_6,5x13mm_Vertical,
C36,820pF,Capacitors_SMD:C_0805_HandSoldering,
L21,432nH,Choke_Toroid_ThroughHole:Choke_Toroid_6,5x13mm_Vertical,
C17,150pF,Capacitors_SMD:C_0805_HandSoldering,
L3,1.083uH,Choke_Toroid_ThroughHole:Choke_Toroid_6,5x13mm_Vertical,
C23,690pF,Capacitors_SMD:C_0805_HandSoldering,
L9,243nH,Choke_Toroid_ThroughHole:Choke_Toroid_6,5x13mm_Vertical,
C29,82pF,Capacitors_SMD:C_0805_HandSoldering,
L15,2.028uH,Choke_Toroid_ThroughHole:Choke_Toroid_6,5x13mm_Vertical,
C35,390pF,Capacitors_SMD:C_0805_HandSoldering,
L25,243nH,Choke_Toroid_ThroughHole:Choke_Toroid_6,5x13mm_Vertical,
C21,100pF,Capacitors_SMD:C_0805_HandSoldering,
L7,675nH,Choke_Toroid_ThroughHole:Choke_Toroid_6,5x13mm_Vertical,
C27,630pF,Capacitors_SMD:C_0805_HandSoldering,
L13,108nH,Choke_Toroid_ThroughHole:Choke_Toroid_6,5x13mm_Vertical,
C33,47pF,Capacitors_SMD:C_0805_HandSoldering,
L19,1.452uH,Choke_Toroid_ThroughHole:Choke_Toroid_6,5x13mm_Vertical,
C39,270pF,Capacitors_SMD:C_0805_HandSoldering,
L20,192nH,Choke_Toroid_ThroughHole:Choke_Toroid_6,5x13mm_Vertical,
C16,68pF,Capacitors_SMD:C_0805_HandSoldering,
L2,507nH,Choke_Toroid_ThroughHole:Choke_Toroid_6,5x13mm_Vertical,
C22,472pF,Capacitors_SMD:C_0805_HandSoldering,
L8,75nH,Choke_Toroid_ThroughHole:Choke_Toroid_6,5x13mm_Vertical,
C28,33pF,Capacitors_SMD:C_0805_HandSoldering,
L14,1.083uH,Choke_Toroid_ThroughHole:Choke_Toroid_6,5x13mm_Vertical,
C34,182pF,Capacitors_SMD:C_0805_HandSoldering,
U1,ULN2003A,Sockets_DIP:DIP-16__300,
K3,D3002,Sockets_DIP:DIP-10__300,
K4,D3002,Sockets_DIP:DIP-10__300,
K5,D3002,Sockets_DIP:DIP-10__300,
K6,D3002,Sockets_DIP:DIP-10__300,
K7,D3002,Sockets_DIP:DIP-10__300,
K8,D3002,Sockets_DIP:DIP-10__300,
K13,D3002,Sockets_DIP:DIP-10__300,
K9,D3002,Sockets_DIP:DIP-10__300,
K10,D3002,Sockets_DIP:DIP-10__300,
K11,D3002,Sockets_DIP:DIP-10__300,
K12,D3002,Sockets_DIP:DIP-10__300,
K2,D3002,Sockets_DIP:DIP-10__300,
P4,CONN_01X08,Pin_Headers:Pin_Header_Straight_1x08,
