Digi-Key Part Number,Manufacturer,Manufacturer Part Number,Customer Reference,Quantity 1,Quantity 2,Quantity 3,Mfg Std Lead Time,Description,Comments,RoHS Status,Lead Free Status,REACH Status
311-1361-1-ND,YAGEO (VA),CC0805ZRY5V9BB104,"C1,C2,C3,C4,C17,C20, C29",7,0,0,16 Weeks,CAP CER 0.1UF 50V Y5V 0805,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2014
311-1128-1-ND,YAGEO (VA),CC0805KRX7R9BB152,C10,1,0,0,17 Weeks,CAP CER 1500PF 50V 10% X7R 0805,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2014
311-1111-1-ND,YAGEO (VA),CC0805JRNPO9BN101,C10,1,0,0,16 Weeks,CAP CER 100PF 50V 5% NPO 0805,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2014
311-1111-1-ND,YAGEO (VA),CC0805JRNPO9BN101,C10,1,0,0,16 Weeks,CAP CER 100PF 50V 5% NPO 0805,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2014
311-1107-1-ND,YAGEO (VA),CC0805JRNPO9BN470,C11 ,1,0,0,16 Weeks,CAP CER 47PF 50V 5% NPO 0805,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2014
311-1119-1-ND,YAGEO (VA),CC0805JRNPO9BN471,C11.1,1,0,0,16 Weeks,CAP CER 470PF 50V 5% NPO 0805,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2014
311-1113-1-ND,YAGEO (VA),CC0805JRNPO9BN151,C11.1,1,0,0,17 Weeks,CAP CER 150PF 50V 5% NPO 0805,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2014
311-1115-1-ND,YAGEO (VA),CC0805JRNPO9BN221,C11.2,1,0,0,16 Weeks,CAP CER 220PF 50V 5% NPO 0805,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2014
311-1113-1-ND,YAGEO (VA),CC0805JRNPO9BN151,C11.2,1,0,0,17 Weeks,CAP CER 150PF 50V 5% NPO 0805,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2014
311-1239-1-ND,YAGEO (VA),CX0805MRX7R0BB103,"C12,C15,C16,C19,C25, C26,C27,C28",8,0,0,18 Weeks,CAP CER 10000PF 100V X7R 0805,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2014
311-1133-1-ND,YAGEO (VA),CC0805KRX7R9BB472,C13,1,0,0,16 Weeks,CAP CER 4700PF 50V 10% X7R 0805,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2014
311-1120-1-ND,YAGEO (VA),CC0805JRNPO9BN561,C13.1,1,0,0,17 Weeks,CAP CER 560PF 50V 5% NPO 0805,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2014
311-1128-1-ND,YAGEO (VA),CC0805KRX7R9BB152,C13.1,1,0,0,17 Weeks,CAP CER 1500PF 50V 10% X7R 0805,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2014
311-1108-1-ND,YAGEO (VA),CC0805JRNPO9BN560,C13.2,1,0,0,17 Weeks,CAP CER 56PF 50V 5% NPO 0805,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2014
311-1111-1-ND,YAGEO (VA),CC0805JRNPO9BN101,C13.2,1,0,0,16 Weeks,CAP CER 100PF 50V 5% NPO 0805,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2014
311-1116-1-ND,YAGEO (VA),CC0805JRNPO9BN271,C14,1,0,0,17 Weeks,CAP CER 270PF 50V 5% NPO 0805,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2014
311-1129-1-ND,YAGEO (VA),CC0805KRX7R9BB222,C14,1,0,0,16 Weeks,CAP CER 2200PF 50V 10% X7R 0805,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2014
311-1194-1-ND,YAGEO (VA),CC0805KRX7R9BB821,C14,1,0,0,17 Weeks,CAP CER 820PF 50V 10% X7R 0805,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2014
311-1112-1-ND,YAGEO (VA),CC0805JRNPO9BN121,"C18,C23",2,0,0,17 Weeks,CAP CER 120PF 50V 5% NPO 0805,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2014
