Reference, Value, Footprint, Datasheet
C3,0.1uF,Capacitors_SMD:C_0805_HandSoldering,
C9,22uF,Capacitors_SMD:C_0805_HandSoldering,
P2,CONN_01X04,Pin_Headers:Pin_Header_Straight_1x04,
C5,47uF 25V,Capacitors_Tantalum_SMD:TantalC_SizeC_EIA-6032_HandSoldering,
P1,CONN_01X02,Pin_Headers:Pin_Header_Straight_1x02,
C8,0.1uF,Capacitors_SMD:C_0805_HandSoldering,
L1,BLM21PG121SN1D,SMD_Packages:SMD-0805,
C1,10uF 25V,Capacitors_Tantalum_SMD:TantalC_SizeC_EIA-6032_HandSoldering,
C2,NFM21PC224R1C3D,SMDCAP:cfeed_0805,
C11,NFM21PC224R1C3D,SMDCAP:cfeed_0805,
L3,1 uH,SMD_Packages:SMD-0805,
U1,LT3633,SMD_Packages:TSSOP-28,
R3,10k,Resistors_SMD:R_0805_HandSoldering,
R4,45.3k,Resistors_SMD:R_0805_HandSoldering,
C7,2.2uF,Capacitors_SMD:C_0805_HandSoldering,
L2,1.5 uH,SMD_Packages:SMD-0805,
C6,0.1uF,Capacitors_SMD:C_0805_HandSoldering,
R2,10k,Resistors_SMD:R_0805_HandSoldering,
R1,73.2k,Resistors_SMD:R_0805_HandSoldering,
C4,22uF,Capacitors_SMD:C_0805_HandSoldering,
L4,BLM21PG121SN1D,SMD_Packages:SMD-0805,
C12,10uF 25V,Capacitors_Tantalum_SMD:TantalC_SizeC_EIA-6032_HandSoldering,
C10,0.1uF,Capacitors_SMD:C_0805_HandSoldering,
L5,BLM21PG220SN1D,SMD_Packages:SMD-0805,
C14,DNI,Capacitors_SMD:C_0805_HandSoldering,
C13,DNI,Capacitors_Tantalum_SMD:TantalC_SizeC_EIA-6032_HandSoldering,
C15,47uF 25V,Capacitors_Tantalum_SMD:TantalC_SizeC_EIA-6032_HandSoldering,
